chunker,model,filters,retrieval,dims,chunks,correct,of,avg_candidates,embed_tokens,embed_cost,filter_mode
semantic,large,none,keyword,3072,45,4,10,45.0,0,0.0,preFilter
semantic,large,none,vector,3072,45,1,10,45.0,0,0.0,preFilter
semantic,large,none,hybrid,3072,45,2,10,45.0,0,0.0,preFilter
semantic,large,jurisdiction,keyword,3072,45,6,10,29.0,0,0.0,preFilter
semantic,large,jurisdiction,vector,3072,45,3,10,29.0,0,0.0,preFilter
semantic,large,jurisdiction,vector,3072,45,3,10,29.0,0,0.0,postFilter
semantic,large,jurisdiction,vector,3072,45,2,10,29.0,0,0.0,strictPostFilter
semantic,large,jurisdiction,hybrid,3072,45,4,10,29.0,0,0.0,preFilter
semantic,large,jurisdiction,hybrid,3072,45,4,10,29.0,0,0.0,postFilter
semantic,large,jurisdiction,hybrid,3072,45,4,10,29.0,0,0.0,strictPostFilter
semantic,large,full,keyword,3072,45,9,10,4.2,0,0.0,preFilter
semantic,large,full,vector,3072,45,8,10,4.2,0,0.0,preFilter
semantic,large,full,vector,3072,45,8,10,4.2,0,0.0,postFilter
semantic,large,full,vector,3072,45,4,10,4.2,0,0.0,strictPostFilter
semantic,large,full,hybrid,3072,45,9,10,4.2,0,0.0,preFilter
semantic,large,full,hybrid,3072,45,9,10,4.2,0,0.0,postFilter
semantic,large,full,hybrid,3072,45,8,10,4.2,0,0.0,strictPostFilter
